Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
  2226.0,  1.196104E-3,   214.46735,          NaN,         NaN, 1.283124E-12,   325.36366,          NaN,         NaN
  2227.0,  2.731111E-3,   214.67492,          NaN,         NaN, 1.129750E-12,   325.55151,          NaN,         NaN
  2228.0,  4.296410E-3,   214.84386,          NaN,         NaN, 9.704914E-13,   325.75797,          NaN,         NaN
  2229.0,  5.878252E-3,   215.00460,          NaN,         NaN, 8.100090E-13,   325.99482,          NaN,         NaN
  2230.0,  7.464259E-3,   215.16221,          NaN,         NaN, 6.559355E-13,   326.28354,          NaN,         NaN
  2231.0,  9.042252E-3,   215.31824,          NaN,         NaN, 5.224027E-13,   326.66150,          NaN,         NaN
  2232.0,  1.060019E-2,   215.47336,          NaN,         NaN, 4.357155E-13,   327.16994,          NaN,         NaN
  2233.0,  1.212618E-2,   215.62788,          NaN,         NaN, 4.286438E-13,   327.76580,          NaN,         NaN
  2234.0,  1.360860E-2,   215.78199,          NaN,         NaN, 5.039675E-13,   328.29217,          NaN,         NaN
  2235.0,  1.503610E-2,   215.93581,          NaN,         NaN, 6.299128E-13,   328.68516,          NaN,         NaN
  2236.0,  1.639769E-2,   216.08942,          NaN,         NaN, 7.780096E-13,   328.98161,          NaN,         NaN
  2237.0,  1.768279E-2,   216.24287,          NaN,         NaN, 9.326787E-13,   329.22115,          NaN,         NaN
  2238.0,  1.888130E-2,   216.39623,          NaN,         NaN, 1.085631E-12,   329.42712,          NaN,         NaN
  2239.0,  1.998365E-2,   216.54954,          NaN,         NaN, 1.231915E-12,   329.61223,          NaN,         NaN
  2240.0,  2.098083E-2,   216.70285,          NaN,         NaN, 1.368182E-12,   329.78362,          NaN,         NaN
  2241.0,  2.186445E-2,   216.85620,          NaN,         NaN, 1.491948E-12,   329.94548,          NaN,         NaN
  2242.0,  2.262680E-2,   217.00967,          NaN,         NaN, 1.601273E-12,   330.10036,          NaN,         NaN
  2243.0,  2.326085E-2,   217.16329,          NaN,         NaN, 1.694608E-12,   330.24987,          NaN,         NaN
  2244.0,  2.376032E-2,   217.31715,          NaN,         NaN, 1.770726E-12,   330.39504,          NaN,         NaN
  2245.0,  2.411971E-2,   217.47132,          NaN,         NaN, 1.828690E-12,   330.53652,          NaN,         NaN
  2246.0,  2.433434E-2,   217.62590,          NaN,         NaN, 1.867833E-12,   330.67469,          NaN,         NaN
  2247.0,  2.440039E-2,   217.78099,          NaN,         NaN, 1.887762E-12,   330.80972,          NaN,         NaN
  2248.0,  2.431490E-2,   217.93674,          NaN,         NaN, 1.888347E-12,   330.94159,          NaN,         NaN
  2249.0,  2.407590E-2,   218.09330,          NaN,         NaN, 1.869738E-12,   331.07015,          NaN,         NaN
  2250.0,  2.368237E-2,   218.25089,          NaN,         NaN, 1.832364E-12,   331.19504,          NaN,         NaN
  2251.0,  2.313435E-2,   218.40977,          NaN,         NaN, 1.776953E-12,   331.31567,          NaN,         NaN
  2252.0,  2.243300E-2,   218.57026,          NaN,         NaN, 1.704554E-12,   331.43121,          NaN,         NaN
  2253.0,  2.158071E-2,   218.73282,          NaN,         NaN, 1.616576E-12,   331.54043,          NaN,         NaN
  2254.0,  2.058128E-2,   218.89804,          NaN,         NaN, 1.514856E-12,   331.64157,          NaN,         NaN
  2255.0,  1.944010E-2,   219.06672,          NaN,         NaN, 1.401768E-12,   331.73212,          NaN,         NaN
  2256.0,  1.816456E-2,   219.23999,          NaN,         NaN, 1.280422E-12,   331.80845,          NaN,         NaN
  2257.0,  1.676465E-2,   219.41950,          NaN,         NaN, 1.154988E-12,   331.86538,          NaN,         NaN
  2258.0,  1.525407E-2,   219.60770,          NaN,         NaN, 1.031240E-12,   331.89571,          NaN,         NaN
  2259.0,  1.365214E-2,   219.80837,          NaN,         NaN, 9.173381E-13,   331.89031,          NaN,         NaN
  2260.0,  1.198767E-2,   220.02758,          NaN,         NaN, 8.246124E-13,   331.84063,          NaN,         NaN
  2261.0,  1.030665E-2,   220.27534,          NaN,         NaN, 7.670855E-13,   331.74619,          NaN,         NaN
  2262.0,  8.688361E-3,   220.56836,          NaN,         NaN, 7.574366E-13,   331.62532,          NaN,         NaN
  2263.0,  7.276981E-3,   220.93210,          NaN,         NaN, 7.999268E-13,   331.51300,          NaN,         NaN
  2264.0,  6.323869E-3,   221.39097,          NaN,         NaN, 8.876873E-13,   331.43868,          NaN,         NaN
  2265.0,  6.149948E-3,   221.92243,          NaN,         NaN, 1.008029E-12,   331.41134,          NaN,         NaN
  2266.0,  6.891783E-3,   222.43073,          NaN,         NaN, 1.148723E-12,   331.42559,          NaN,         NaN
  2267.0,  8.358429E-3,   222.84646,          NaN,         NaN, 1.300398E-12,   331.47201,          NaN,         NaN
  2268.0,  1.027328E-2,   223.17504,          NaN,         NaN, 1.456377E-12,   331.54223,          NaN,         NaN
  2269.0,  1.244568E-2,   223.44438,          NaN,         NaN, 1.611916E-12,   331.62996,          NaN,         NaN
  2270.0,  1.476579E-2,   223.67620,          NaN,         NaN, 1.763563E-12,   331.73072,          NaN,         NaN
  2271.0,  1.716872E-2,   223.88391,          NaN,         NaN, 1.908733E-12,   331.84140,          NaN,         NaN
  2272.0,  1.961246E-2,   224.07557,          NaN,         NaN, 2.045457E-12,   331.95979,          NaN,         NaN
  2273.0,  2.206686E-2,   224.25607,          NaN,         NaN, 2.172223E-12,   332.08433,          NaN,         NaN
  2274.0,  2.450835E-2,   224.42850,          NaN,         NaN, 2.287879E-12,   332.21387,          NaN,         NaN
  2275.0,  2.691728E-2,   224.59488,          NaN,         NaN, 2.391576E-12,   332.34758,          NaN,         NaN
  2276.0,  2.927655E-2,   224.75658,          NaN,         NaN, 2.482720E-12,   332.48482,          NaN,         NaN
  2277.0,  3.157094E-2,   224.91453,          NaN,         NaN, 2.560946E-12,   332.62512,          NaN,         NaN
  2278.0,  3.378666E-2,   225.06938,          NaN,         NaN, 2.626090E-12,   332.76809,          NaN,         NaN
  2279.0,  3.591129E-2,   225.22162,          NaN,         NaN, 2.678168E-12,   332.91345,          NaN,         NaN
  2280.0,  3.793359E-2,   225.37157,          NaN,         NaN, 2.717352E-12,   333.06093,          NaN,         NaN
  2281.0,  3.984359E-2,   225.51948,          NaN,         NaN, 2.743954E-12,   333.21035,          NaN,         NaN
  2282.0,  4.163253E-2,   225.66552,          NaN,         NaN, 2.758400E-12,   333.36152,          NaN,         NaN
  2283.0,  4.329297E-2,   225.80982,          NaN,         NaN, 2.761210E-12,   333.51428,          NaN,         NaN
  2284.0,  4.481880E-2,   225.95246,          NaN,         NaN, 2.752979E-12,   333.66847,          NaN,         NaN
  2285.0,  4.620530E-2,   226.09348,          NaN,         NaN, 2.734351E-12,   333.82397,          NaN,         NaN
  2286.0,  4.744919E-2,   226.23291,          NaN,         NaN, 2.706002E-12,   333.98060,          NaN,         NaN
  2287.0,  4.854871E-2,   226.37076,          NaN,         NaN, 2.668617E-12,   334.13824,          NaN,         NaN
  2288.0,  4.950357E-2,   226.50701,          NaN,         NaN, 2.622873E-12,   334.29672,          NaN,         NaN
  2289.0,  5.031506E-2,   226.64165,          NaN,         NaN, 2.569422E-12,   334.45587,          NaN,         NaN
  2290.0,  5.098599E-2,   226.77463,          NaN,         NaN, 2.508875E-12,   334.61552,          NaN,         NaN
  2291.0,  5.152069E-2,   226.90592,          NaN,         NaN, 2.441794E-12,   334.77549,          NaN,         NaN
  2292.0,  5.192499E-2,   227.03546,          NaN,         NaN, 2.368683E-12,   334.93558,          NaN,         NaN
  2293.0,  5.220616E-2,   227.16322,          NaN,         NaN, 2.289982E-12,   335.09557,          NaN,         NaN
  2294.0,  5.237278E-2,   227.28914,          NaN,         NaN, 2.206069E-12,   335.25527,          NaN,         NaN
  2295.0,  5.243470E-2,   227.41318,          NaN,         NaN, 2.117260E-12,   335.41442,          NaN,         NaN
  2296.0,  5.240283E-2,   227.53531,          NaN,         NaN, 2.023819E-12,   335.57281,          NaN,         NaN
  2297.0,  5.228899E-2,   227.65551,          NaN,         NaN, 1.925962E-12,   335.73016,          NaN,         NaN
  2298.0,  5.210570E-2,   227.77376,          NaN,         NaN, 1.823869E-12,   335.88621,          NaN,         NaN
  2299.0,  5.186590E-2,   227.89007,          NaN,         NaN, 1.717702E-12,   336.04067,          NaN,         NaN
  2300.0,  5.158272E-2,   228.00449,          NaN,         NaN, 1.607611E-12,   336.19319,          NaN,         NaN
  2301.0,  5.126913E-2,   228.11707,          NaN,         NaN, 1.493755E-12,   336.34340,          NaN,         NaN
  2302.0,  5.093761E-2,   228.22790,          NaN,         NaN, 1.376310E-12,   336.49082,          NaN,         NaN
  2303.0,  5.059983E-2,   228.33711,          NaN,         NaN, 1.255493E-12,   336.63483,          NaN,         NaN
  2304.0,  5.026628E-2,   228.44484,          NaN,         NaN, 1.131571E-12,   336.77460,          NaN,         NaN
  2305.0,  4.994597E-2,   228.55129,          NaN,         NaN, 1.004887E-12,   336.90887,          NaN,         NaN
  2306.0,  4.964612E-2,   228.65665,          NaN,         NaN, 8.758897E-13,   337.03572,          NaN,         NaN
  2307.0,  4.937197E-2,   228.76116,          NaN,         NaN, 7.451919E-13,   337.15188,          NaN,         NaN
  2308.0,  4.912658E-2,   228.86506,          NaN,         NaN, 6.136973E-13,   337.25130,          NaN,         NaN
  2309.0,  4.891081E-2,   228.96861,          NaN,         NaN, 4.829265E-13,   337.32161,          NaN,         NaN
  2310.0,  4.872330E-2,   229.07203,          NaN,         NaN, 3.560279E-13,   337.33355,          NaN,         NaN
  2311.0,  4.856062E-2,   229.17558,          NaN,         NaN, 2.416434E-13,   337.20697,          NaN,         NaN
  2312.0,  4.841746E-2,   229.27945,          NaN,         NaN, 1.694097E-13,   336.75280,          NaN,         NaN
  2313.0,  4.828693E-2,   229.38384,          NaN,         NaN, 1.939597E-13,   336.12210,          NaN,         NaN
  2314.0,  4.816083E-2,   229.48888,          NaN,         NaN, 2.905530E-13,   335.84653,          NaN,         NaN
  2315.0,  4.803009E-2,   229.59470,          NaN,         NaN, 4.094840E-13,   335.79491,          NaN,         NaN
  2316.0,  4.788507E-2,   229.70138,          NaN,         NaN, 5.341097E-13,   335.83066,          NaN,         NaN
  2317.0,  4.771595E-2,   229.80894,          NaN,         NaN, 6.591093E-13,   335.90477,          NaN,         NaN
  2318.0,  4.751311E-2,   229.91739,          NaN,         NaN, 7.821266E-13,   335.99816,          NaN,         NaN
  2319.0,  4.726738E-2,   230.02670,          NaN,         NaN, 9.017690E-13,   336.10220,          NaN,         NaN
  2320.0,  4.697035E-2,   230.13680,          NaN,         NaN, 1.017034E-12,   336.21249,          NaN,         NaN
  2321.0,  4.661458E-2,   230.24761,          NaN,         NaN, 1.127109E-12,   336.32660,          NaN,         NaN
  2322.0,  4.619380E-2,   230.35901,          NaN,         NaN, 1.231297E-12,   336.44305,          NaN,         NaN
  2323.0,  4.570303E-2,   230.47087,          NaN,         NaN, 1.328980E-12,   336.56092,          NaN,         NaN
  2324.0,  4.513870E-2,   230.58302,          NaN,         NaN, 1.419607E-12,   336.67962,          NaN,         NaN
  2325.0,  4.449872E-2,   230.69530,          NaN,         NaN, 1.502687E-12,   336.79872,          NaN,         NaN
  2326.0,  4.378246E-2,   230.80753,          NaN,         NaN, 1.577790E-12,   336.91794,          NaN,         NaN
  2327.0,  4.299084E-2,   230.91950,          NaN,         NaN, 1.644543E-12,   337.03707,          NaN,         NaN
  2328.0,  4.212620E-2,   231.03101,          NaN,         NaN, 1.702639E-12,   337.15595,          NaN,         NaN
  2329.0,  4.119236E-2,   231.14185,          NaN,         NaN, 1.751830E-12,   337.27446,          NaN,         NaN
  2330.0,  4.019447E-2,   231.25177,          NaN,         NaN, 1.791936E-12,   337.39249,          NaN,         NaN
  2331.0,  3.913896E-2,   231.36056,          NaN,         NaN, 1.822844E-12,   337.50996,          NaN,         NaN
  2332.0,  3.803342E-2,   231.46796,          NaN,         NaN, 1.844514E-12,   337.62678,          NaN,         NaN
  2333.0,  3.688647E-2,   231.57374,          NaN,         NaN, 1.856974E-12,   337.74288,          NaN,         NaN
  2334.0,  3.570765E-2,   231.67765,          NaN,         NaN, 1.860327E-12,   337.85817,          NaN,         NaN
  2335.0,  3.450721E-2,   231.77944,          NaN,         NaN, 1.854751E-12,   337.97257,          NaN,         NaN
  2336.0,  3.329596E-2,   231.87889,          NaN,         NaN, 1.840496E-12,   338.08599,          NaN,         NaN
  2337.0,  3.208505E-2,   231.97577,          NaN,         NaN, 1.817886E-12,   338.19832,          NaN,         NaN
  2338.0,  3.088573E-2,   232.06988,          NaN,         NaN, 1.787318E-12,   338.30946,          NaN,         NaN
  2339.0,  2.970915E-2,   232.16106,          NaN,         NaN, 1.749257E-12,   338.41926,          NaN,         NaN
  2340.0,  2.856601E-2,   232.24918,          NaN,         NaN, 1.704238E-12,   338.52758,          NaN,         NaN
  2341.0,  2.746631E-2,   232.33418,          NaN,         NaN, 1.652854E-12,   338.63426,          NaN,         NaN
  2342.0,  2.641904E-2,   232.41605,          NaN,         NaN, 1.595756E-12,   338.73909,          NaN,         NaN
  2343.0,  2.543189E-2,   232.49487,          NaN,         NaN, 1.533647E-12,   338.84187,          NaN,         NaN
  2344.0,  2.451093E-2,   232.57078,          NaN,         NaN, 1.467269E-12,   338.94234,          NaN,         NaN
  2345.0,  2.366045E-2,   232.64402,          NaN,         NaN, 1.397401E-12,   339.04024,          NaN,         NaN
  2346.0,  2.288276E-2,   232.71489,          NaN,         NaN, 1.324844E-12,   339.13523,          NaN,         NaN
  2347.0,  2.217814E-2,   232.78376,          NaN,         NaN, 1.250414E-12,   339.22697,          NaN,         NaN
  2348.0,  2.154498E-2,   232.85102,          NaN,         NaN, 1.174929E-12,   339.31506,          NaN,         NaN
  2349.0,  2.097991E-2,   232.91711,          NaN,         NaN, 1.099197E-12,   339.39906,          NaN,         NaN
  2350.0,  2.047819E-2,   232.98241,          NaN,         NaN, 1.024005E-12,   339.47846,          NaN,         NaN
  2351.0,  2.003406E-2,   233.04729,          NaN,         NaN, 9.501057E-13,   339.55273,          NaN,         NaN
  2352.0,  1.964127E-2,   233.11205,          NaN,         NaN, 8.782070E-13,   339.62126,          NaN,         NaN
  2353.0,  1.929348E-2,   233.17693,          NaN,         NaN, 8.089604E-13,   339.68340,          NaN,         NaN
  2354.0,  1.898474E-2,   233.24209,          NaN,         NaN, 7.429532E-13,   339.73843,          NaN,         NaN
  2355.0,  1.870984E-2,   233.30764,          NaN,         NaN, 6.807035E-13,   339.78560,          NaN,         NaN
  2356.0,  1.846454E-2,   233.37363,          NaN,         NaN, 6.226602E-13,   339.82408,          NaN,         NaN
  2357.0,  1.824571E-2,   233.44007,          NaN,         NaN, 5.692085E-13,   339.85302,          NaN,         NaN
  2358.0,  1.805137E-2,   233.50697,          NaN,         NaN, 5.206852E-13,   339.87155,          NaN,         NaN
  2359.0,  1.788058E-2,   233.57434,          NaN,         NaN, 4.774011E-13,   339.87886,          NaN,         NaN
  2360.0,  1.773324E-2,   233.64224,          NaN,         NaN, 4.396706E-13,   339.87427,          NaN,         NaN
  2361.0,  1.760979E-2,   233.71076,          NaN,         NaN, 4.078422E-13,   339.85746,          NaN,         NaN
  2362.0,  1.751091E-2,   233.78004,          NaN,         NaN, 3.823162E-13,   339.82882,          NaN,         NaN
  2363.0,  1.743710E-2,   233.85032,          NaN,         NaN, 3.635334E-13,   339.78985,          NaN,         NaN
  2364.0,  1.738833E-2,   233.92186,          NaN,         NaN, 3.519168E-13,   339.74359,          NaN,         NaN
  2365.0,  1.736367E-2,   233.99498,          NaN,         NaN, 3.477684E-13,   339.69464,          NaN,         NaN
  2366.0,  1.736105E-2,   234.07006,          NaN,         NaN, 3.511525E-13,   339.64873,          NaN,         NaN
  2367.0,  1.737704E-2,   234.14745,          NaN,         NaN, 3.618195E-13,   339.61159,          NaN,         NaN
  2368.0,  1.740681E-2,   234.22752,          NaN,         NaN, 3.792103E-13,   339.58791,          NaN,         NaN
  2369.0,  1.744409E-2,   234.31062,          NaN,         NaN, 4.025330E-13,   339.58064,          NaN,         NaN
  2370.0,  1.748139E-2,   234.39702,          NaN,         NaN, 4.308686E-13,   339.59099,          NaN,         NaN
  2371.0,  1.751012E-2,   234.48697,          NaN,         NaN, 4.632626E-13,   339.61885,          NaN,         NaN
  2372.0,  1.752091E-2,   234.58064,          NaN,         NaN, 4.987837E-13,   339.66324,          NaN,         NaN
  2373.0,  1.750385E-2,   234.67815,          NaN,         NaN, 5.365535E-13,   339.72282,          NaN,         NaN
  2374.0,  1.744886E-2,   234.77957,          NaN,         NaN, 5.757564E-13,   339.79613,          NaN,         NaN
  2375.0,  1.734591E-2,   234.88493,          NaN,         NaN, 6.156408E-13,   339.88177,          NaN,         NaN
  2376.0,  1.718532E-2,   234.99424,          NaN,         NaN, 6.555171E-13,   339.97847,          NaN,         NaN
  2377.0,  1.695801E-2,   235.10746,          NaN,         NaN, 6.947555E-13,   340.08511,          NaN,         NaN
  2378.0,  1.665567E-2,   235.22459,          NaN,         NaN, 7.327843E-13,   340.20077,          NaN,         NaN
  2379.0,  1.627098E-2,   235.34562,          NaN,         NaN, 7.690898E-13,   340.32462,          NaN,         NaN
  2380.0,  1.579773E-2,   235.47060,          NaN,         NaN, 8.032150E-13,   340.45601,          NaN,         NaN
  2381.0,  1.523098E-2,   235.59963,          NaN,         NaN, 8.347600E-13,   340.59436,          NaN,         NaN
  2382.0,  1.456715E-2,   235.73290,          NaN,         NaN, 8.633807E-13,   340.73923,          NaN,         NaN
  2383.0,  1.380415E-2,   235.87075,          NaN,         NaN, 8.887881E-13,   340.89023,          NaN,         NaN
  2384.0,  1.294153E-2,   236.01372,          NaN,         NaN, 9.107469E-13,   341.04708,          NaN,         NaN
  2385.0,  1.198066E-2,   236.16272,          NaN,         NaN, 9.290741E-13,   341.20955,          NaN,         NaN
  2386.0,  1.092507E-2,   236.31919,          NaN,         NaN, 9.436379E-13,   341.37749,          NaN,         NaN
  2387.0,  9.781063E-3,   236.48550,          NaN,         NaN, 9.543576E-13,   341.55081,          NaN,         NaN
  2388.0,  8.558892E-3,   236.66576,          NaN,         NaN, 9.612055E-13,   341.72950,          NaN,         NaN
  2389.0,  7.275526E-3,   236.86737,          NaN,         NaN, 9.642111E-13,   341.91363,          NaN,         NaN
  2390.0,  5.961273E-3,   237.10473,          NaN,         NaN, 9.634682E-13,   342.10335,          NaN,         NaN
  2391.0,  4.677804E-3,   237.40775,          NaN,         NaN, 9.591475E-13,   342.29889,          NaN,         NaN
  2392.0,  3.569728E-3,   237.83774,          NaN,         NaN, 9.515137E-13,   342.50061,          NaN,         NaN
  2393.0,  2.970720E-3,   238.46611,          NaN,         NaN, 9.409492E-13,   342.70895,          NaN,         NaN
  2394.0,  3.276966E-3,   239.16226,          NaN,         NaN, 9.279839E-13,   342.92447,          NaN,         NaN
  2395.0,  4.355970E-3,   239.68089,          NaN,         NaN, 9.133317E-13,   343.14779,          NaN,         NaN
  2396.0,  5.821166E-3,   240.03531,          NaN,         NaN, 8.979291E-13,   343.37960,          NaN,         NaN
  2397.0,  7.461306E-3,   240.30232,          NaN,         NaN, 8.829721E-13,   343.62052,          NaN,         NaN
  2398.0,  9.184858E-3,   240.52412,          NaN,         NaN, 8.699395E-13,   343.87096,          NaN,         NaN
  2399.0,  1.094609E-2,   240.72071,          NaN,         NaN, 8.605849E-13,   344.13094,          NaN,         NaN
  2400.0,  1.271701E-2,   240.90209,          NaN,         NaN, 8.568763E-13,   344.39982,          NaN,         NaN
  2401.0,  1.447741E-2,   241.07365,          NaN,         NaN, 8.608632E-13,   344.67609,          NaN,         NaN
  2402.0,  1.621095E-2,   241.23849,          NaN,         NaN, 8.744718E-13,   344.95727,          NaN,         NaN
  2403.0,  1.790353E-2,   241.39848,          NaN,         NaN, 8.992595E-13,   345.24010,          NaN,         NaN
  2404.0,  1.954260E-2,   241.55479,          NaN,         NaN, 9.361973E-13,   345.52102,          NaN,         NaN
  2405.0,  2.111684E-2,   241.70820,          NaN,         NaN, 9.855473E-13,   345.79667,          NaN,         NaN
  2406.0,  2.261603E-2,   241.85920,          NaN,         NaN, 1.046872E-12,   346.06448,          NaN,         NaN
  2407.0,  2.403102E-2,   242.00814,          NaN,         NaN, 1.119147E-12,   346.32280,          NaN,         NaN
  2408.0,  2.535376E-2,   242.15522,          NaN,         NaN, 1.200926E-12,   346.57094,          NaN,         NaN
  2409.0,  2.657735E-2,   242.30058,          NaN,         NaN, 1.290502E-12,   346.80894,          NaN,         NaN
  2410.0,  2.769610E-2,   242.44429,          NaN,         NaN, 1.386026E-12,   347.03732,          NaN,         NaN
  2411.0,  2.870558E-2,   242.58639,          NaN,         NaN, 1.485594E-12,   347.25685,          NaN,         NaN
  2412.0,  2.960266E-2,   242.72687,          NaN,         NaN, 1.587298E-12,   347.46841,          NaN,         NaN
  2413.0,  3.038560E-2,   242.86570,          NaN,         NaN, 1.689250E-12,   347.67286,          NaN,         NaN
  2414.0,  3.105407E-2,   243.00284,          NaN,         NaN, 1.789605E-12,   347.87100,          NaN,         NaN
  2415.0,  3.160917E-2,   243.13820,          NaN,         NaN, 1.886567E-12,   348.06358,          NaN,         NaN
  2416.0,  3.205347E-2,   243.27172,          NaN,         NaN, 1.978405E-12,   348.25121,          NaN,         NaN
  2417.0,  3.239098E-2,   243.40331,          NaN,         NaN, 2.063458E-12,   348.43445,          NaN,         NaN
  2418.0,  3.262714E-2,   243.53286,          NaN,         NaN, 2.140152E-12,   348.61375,          NaN,         NaN
  2419.0,  3.276877E-2,   243.66030,          NaN,         NaN, 2.207012E-12,   348.78950,          NaN,         NaN
  2420.0,  3.282401E-2,   243.78553,          NaN,         NaN, 2.262678E-12,   348.96203,          NaN,         NaN
  2421.0,  3.280215E-2,   243.90848,          NaN,         NaN, 2.305917E-12,   349.13159,          NaN,         NaN
  2422.0,  3.271358E-2,   244.02907,          NaN,         NaN, 2.335644E-12,   349.29839,          NaN,         NaN
  2423.0,  3.256947E-2,   244.14729,          NaN,         NaN, 2.350933E-12,   349.46258,          NaN,         NaN
  2424.0,  3.238163E-2,   244.26312,          NaN,         NaN, 2.351034E-12,   349.62429,          NaN,         NaN
  2425.0,  3.216218E-2,   244.37661,          NaN,         NaN, 2.335387E-12,   349.78355,          NaN,         NaN
  2426.0,  3.192316E-2,   244.48784,          NaN,         NaN, 2.303629E-12,   349.94040,          NaN,         NaN
  2427.0,  3.167623E-2,   244.59695,          NaN,         NaN, 2.255612E-12,   350.09478,          NaN,         NaN
  2428.0,  3.143214E-2,   244.70416,          NaN,         NaN, 2.191404E-12,   350.24657,          NaN,         NaN
  2429.0,  3.120039E-2,   244.80973,          NaN,         NaN, 2.111300E-12,   350.39558,          NaN,         NaN
  2430.0,  3.098876E-2,   244.91399,          NaN,         NaN, 2.015830E-12,   350.54151,          NaN,         NaN
  2431.0,  3.080292E-2,   245.01733,          NaN,         NaN, 1.905760E-12,   350.68389,          NaN,         NaN
  2432.0,  3.064617E-2,   245.12017,          NaN,         NaN, 1.782106E-12,   350.82207,          NaN,         NaN
  2433.0,  3.051924E-2,   245.22296,          NaN,         NaN, 1.646146E-12,   350.95505,          NaN,         NaN
  2434.0,  3.042020E-2,   245.32615,          NaN,         NaN, 1.499450E-12,   351.08138,          NaN,         NaN
  2435.0,  3.034457E-2,   245.43018,          NaN,         NaN, 1.343935E-12,   351.19881,          NaN,         NaN
  2436.0,  3.028552E-2,   245.53547,          NaN,         NaN, 1.181979E-12,   351.30378,          NaN,         NaN
  2437.0,  3.023417E-2,   245.64237,          NaN,         NaN, 1.016664E-12,   351.39043,          NaN,         NaN
  2438.0,  3.018002E-2,   245.75120,          NaN,         NaN, 8.522915E-13,   351.44870,          NaN,         NaN
  2439.0,  3.011135E-2,   245.86223,          NaN,         NaN, 6.955513E-13,   351.46083,          NaN,         NaN
  2440.0,  3.001573E-2,   245.97563,          NaN,         NaN, 5.580700E-13,   351.39678,          NaN,         NaN
  2441.0,  2.988043E-2,   246.09157,          NaN,         NaN, 4.605666E-13,   351.22021,          NaN,         NaN
  2442.0,  2.969285E-2,   246.21013,          NaN,         NaN, 4.308221E-13,   350.94647,          NaN,         NaN
  2443.0,  2.944089E-2,   246.33137,          NaN,         NaN, 4.782549E-13,   350.69779,          NaN,         NaN
  2444.0,  2.911323E-2,   246.45534,          NaN,         NaN, 5.792541E-13,   350.56313,          NaN,         NaN
  2445.0,  2.869963E-2,   246.58205,          NaN,         NaN, 7.054180E-13,   350.52814,          NaN,         NaN
  2446.0,  2.819108E-2,   246.71152,          NaN,         NaN, 8.393422E-13,   350.55590,          NaN,         NaN
  2447.0,  2.758003E-2,   246.84376,          NaN,         NaN, 9.716783E-13,   350.62115,          NaN,         NaN
  2448.0,  2.686043E-2,   246.97882,          NaN,         NaN, 1.097091E-12,   350.70938,          NaN,         NaN
  2449.0,  2.602790E-2,   247.11678,          NaN,         NaN, 1.212219E-12,   350.81231,          NaN,         NaN
  2450.0,  2.507976E-2,   247.25776,          NaN,         NaN, 1.314773E-12,   350.92498,          NaN,         NaN
  2451.0,  2.401509E-2,   247.40196,          NaN,         NaN, 1.403126E-12,   351.04434,          NaN,         NaN
  2452.0,  2.283484E-2,   247.54969,          NaN,         NaN, 1.476120E-12,   351.16835,          NaN,         NaN
  2453.0,  2.154186E-2,   247.70138,          NaN,         NaN, 1.532967E-12,   351.29564,          NaN,         NaN
  2454.0,  2.014112E-2,   247.85771,          NaN,         NaN, 1.573199E-12,   351.42522,          NaN,         NaN
  2455.0,  1.863988E-2,   248.01964,          NaN,         NaN, 1.596635E-12,   351.55634,          NaN,         NaN
  2456.0,  1.704824E-2,   248.18863,          NaN,         NaN, 1.603362E-12,   351.68841,          NaN,         NaN
  2457.0,  1.537987E-2,   248.36691,          NaN,         NaN, 1.593718E-12,   351.82091,          NaN,         NaN
  2458.0,  1.365370E-2,   248.55796,          NaN,         NaN, 1.568280E-12,   351.95338,          NaN,         NaN
  2459.0,  1.189693E-2,   248.76738,          NaN,         NaN, 1.527850E-12,   352.08536,          NaN,         NaN
  2460.0,  1.015144E-2,   249.00452,          NaN,         NaN, 1.473441E-12,   352.21637,          NaN,         NaN
  2461.0,  8.487041E-3,   249.28503,          NaN,         NaN, 1.406261E-12,   352.34583,          NaN,         NaN
  2462.0,  7.027907E-3,   249.63345,          NaN,         NaN, 1.327706E-12,   352.47308,          NaN,         NaN
  2463.0,  5.990689E-3,   250.07621,          NaN,         NaN, 1.239344E-12,   352.59724,          NaN,         NaN
  2464.0,  5.663983E-3,   250.60022,          NaN,         NaN, 1.142912E-12,   352.71717,          NaN,         NaN
  2465.0,  6.190330E-3,   251.11471,          NaN,         NaN, 1.040316E-12,   352.83129,          NaN,         NaN
  2466.0,  7.398571E-3,   251.54020,          NaN,         NaN, 9.336570E-13,   352.93739,          NaN,         NaN
  2467.0,  9.013578E-3,   251.87535,          NaN,         NaN, 8.252707E-13,   353.03223,          NaN,         NaN
  2468.0,  1.084080E-2,   252.14798,          NaN,         NaN, 7.178366E-13,   353.11107,          NaN,         NaN
  2469.0,  1.276893E-2,   252.38104,          NaN,         NaN, 6.145668E-13,   353.16683,          NaN,         NaN
  2470.0,  1.473378E-2,   252.58884,          NaN,         NaN, 5.195374E-13,   353.18933,          NaN,         NaN
  2471.0,  1.669522E-2,   252.77991,          NaN,         NaN, 4.381438E-13,   353.16569,          NaN,         NaN
  2472.0,  1.862580E-2,   252.95943,          NaN,         NaN, 3.772816E-13,   353.08583,          NaN,         NaN
  2473.0,  2.050521E-2,   253.13062,          NaN,         NaN, 3.438525E-13,   352.95802,          NaN,         NaN
