t_ps,A_Re,A_Im,AS_Re,AB_Re
171.78550902704833,0.0,0.0,0.0,0.0
172.61245841163807,3.6948082439320516e-79,0.0,0.0,3.6948082439320516e-79
173.4394077962278,3.883117403412682e-78,0.0,0.0,3.883117403412682e-78
174.26635718081758,0.0,0.0,0.0,0.0
175.09330656540732,0.0,0.0,0.0,0.0
175.92025594999706,5.715208378880755e-76,0.0,0.0,5.715208378880755e-76
176.7472053345868,0.0,0.0,0.0,0.0
177.57415471917653,3.8452278480796324e-75,0.0,0.0,3.8452278480796324e-75
178.40110410376627,0.0,0.0,0.0,0.0
179.22805348835604,0.0,0.0,0.0,0.0
180.05500287294578,0.0,0.0,0.0,0.0
180.88195225753552,0.0,0.0,0.0,0.0
181.70890164212526,2.7734461468506455e-71,0.0,0.0,2.7734461468506455e-71
182.535851026715,1.0372456635998233e-70,0.0,0.0,1.0372456635998233e-70
183.36280041130473,3.968290568261522e-70,0.0,0.0,3.968290568261522e-70
184.1897497958945,0.0,0.0,0.0,0.0
185.01669918048424,0.0,0.0,0.0,0.0
185.84364856507398,0.0,0.0,0.0,0.0
186.67059794966372,7.898259777694179e-64,0.0,0.0,7.898259777694179e-64
187.49754733425343,0.0,0.0,0.0,0.0
188.3244967188432,0.0,0.0,0.0,0.0
189.15144610343293,1.1465883903671428e-59,0.0,0.0,1.1465883903671428e-59
189.97839548802267,2.7954663076618983e-59,0.0,0.0,2.7954663076618983e-59
190.8053448726124,9.434105811320702e-58,0.0,0.0,9.434105811320702e-58
191.63229425720215,0.0,0.0,0.0,0.0
192.4592436417919,0.0,0.0,0.0,0.0
193.28619302638162,0.0,0.0,0.0,0.0
194.1131424109714,4.1050771799325407e-57,0.0,0.0,4.1050771799325407e-57
194.94009179556113,2.4789892399886395e-42,0.0,0.0,2.4789892399886395e-42
195.76704118015087,0.0,0.0,0.0,0.0
196.5939905647406,3.3080890202643886e-40,0.0,0.0,3.3080890202643886e-40
197.42093994933035,0.0,0.0,0.0,0.0
198.24788933392009,0.0,0.0,0.0,0.0
199.07483871850985,0.0,0.0,0.0,0.0
199.9017881030996,0.0,0.0,0.0,0.0
200.72873748768933,0.0,0.0,0.0,0.0
201.55568687227907,0.0,0.0,0.0,-0.0
202.3826362568688,0.0,0.0,0.0,0.0
203.20958564145855,-5.142116283458157e-42,0.0,0.0,-5.142116283458157e-42
204.0365350260483,0.0,0.0,0.0,0.0
204.86348441063805,0.0,0.0,0.0,0.0
205.6904337952278,0.0,0.0,0.0,0.0
206.51738317981753,0.0,0.0,0.0,0.0
207.34433256440727,-4.2210668035379924e-47,0.0,0.0,-4.2210668035379924e-47
208.171281948997,0.0,0.0,0.0,0.0
208.99823133358677,0.0,0.0,0.0,0.0
209.8251807181765,0.0,0.0,0.0,0.0
210.65213010276625,-4.146613322555523e-52,0.0,0.0,-4.146613322555523e-52
211.479079487356,-8.835928729594842e-50,0.0,0.0,-8.835928729594842e-50
212.30602887194573,0.0,0.0,0.0,0.0
213.13297825653547,0.0,0.0,0.0,0.0
213.95992764112523,0.0,0.0,0.0,0.0
214.78687702571494,0.0,0.0,0.0,0.0
215.6138264103047,0.0,0.0,0.0,0.0
